iter	Passed	Remaining
248	592	1787
249	594	1782
250	595	1778
251	597	1773
252	599	1769
253	600	1764
254	602	1759
255	603	1755
256	605	1750
257	607	1746
258	608	1742
259	610	1738
260	612	1733
261	614	1729
262	615	1725
263	617	1720
264	618	1716
265	620	1712
266	622	1707
267	623	1703
268	625	1699
269	626	1694
270	628	1689
271	630	1686
272	631	1681
273	633	1677
274	634	1673
275	636	1669
276	638	1665
277	639	1661
278	641	1657
279	643	1653
280	644	1649
281	646	1645
282	647	1640
283	649	1636
284	651	1633
285	652	1629
286	654	1625
287	656	1621
288	657	1617
289	659	1613
290	660	1609
291	662	1606
292	663	1602
293	665	1598
294	667	1594
295	668	1590
296	670	1587
297	672	1583
298	673	1579
299	675	1576
300	677	1572
301	678	1568
302	680	1564
303	682	1561
304	683	1557
305	685	1554
306	686	1550
307	689	1549
308	691	1546
309	692	1542
310	694	1539
311	696	1535
312	698	1532
313	699	1528
314	702	1526
315	703	1523
316	705	1519
317	706	1516
318	708	1512
319	710	1509
320	713	1508
321	715	1505
322	716	1502
323	718	1498
324	719	1495
325	721	1491
326	723	1488
327	724	1484
328	726	1481
329	728	1479
330	730	1475
331	731	1472
332	733	1469
333	735	1466
334	737	1463
335	738	1459
336	740	1457
337	742	1453
338	744	1451
339	746	1449
340	748	1446
341	749	1442
342	751	1439
343	753	1436
344	754	1432
345	756	1430
346	760	1430
347	761	1427
348	764	1425
349	767	1424
350	769	1421
351	770	1418
352	773	1417
353	775	1414
354	776	1411
355	778	1407
356	782	1408
357	786	1409
358	787	1406
359	789	1403
360	791	1400
361	792	1397
362	794	1394
363	795	1390
364	797	1387
365	799	1384
366	802	1383
367	805	1382
368	806	1379
369	807	1375
370	809	1372
371	811	1370
372	813	1366
373	814	1363
374	816	1360
375	818	1357
376	819	1354
377	821	1352
378	823	1349
379	824	1345
380	826	1343
381	828	1340
382	830	1337
383	831	1334
384	833	1331
385	834	1328
386	836	1325
387	838	1322
388	839	1319
389	841	1315
390	842	1312
391	844	1309
392	845	1306
393	847	1303
394	849	1300
395	851	1298
396	852	1295
397	854	1292
398	855	1289
399	857	1286
400	858	1283
401	860	1280
402	862	1277
403	864	1275
404	867	1274
405	869	1271
406	870	1268
407	872	1265
408	873	1262
409	875	1259
410	876	1256
411	878	1253
412	879	1250
413	882	1248
414	883	1245
415	885	1242
416	887	1240
417	888	1237
418	890	1234
419	892	1231
420	893	1229
421	895	1226
422	898	1225
423	900	1223
424	902	1221
425	904	1218
426	906	1215
427	907	1213
428	909	1210
429	911	1207
430	912	1205
431	914	1202
432	916	1199
433	917	1197
434	919	1194
435	921	1191
436	923	1189
437	924	1186
438	926	1184
439	928	1181
440	930	1178
441	931	1176
442	933	1173
443	935	1170
444	936	1168
445	938	1165
446	939	1162
447	941	1160
448	943	1157
449	945	1155
450	946	1152
451	948	1150
452	950	1147
453	951	1144
454	953	1142
455	955	1139
456	956	1136
457	958	1133
458	960	1132
459	962	1129
460	963	1126
461	965	1124
462	966	1121
463	968	1118
464	969	1116
465	971	1113
466	975	1113
467	976	1110
468	978	1107
469	980	1105
470	981	1102
471	983	1099
472	984	1097
473	986	1094
474	988	1092
475	990	1089
476	991	1087
477	993	1084
478	994	1081
479	996	1079
480	998	1076
481	999	1074
482	1001	1071
483	1003	1069
484	1004	1067
485	1006	1064
486	1008	1062
487	1010	1059
488	1011	1057
489	1013	1054
490	1014	1051
491	1016	1049
492	1017	1046
493	1019	1044
494	1021	1041
495	1022	1039
496	1024	1036
497	1025	1034
498	1027	1031
499	1029	1029
500	1030	1026
501	1031	1023
502	1033	1021
503	1035	1018
504	1037	1016
505	1038	1013
506	1040	1011
507	1041	1008
508	1043	1006
509	1044	1003
510	1046	1001
511	1048	998
512	1049	996
513	1051	994
514	1053	991
515	1054	989
516	1056	987
517	1057	984
518	1059	981
519	1060	979
520	1062	976
521	1063	974
522	1065	971
523	1067	969
524	1069	967
525	1070	964
526	1072	962
527	1074	960
528	1076	958
529	1078	956
530	1080	954
531	1082	952
532	1084	949
533	1085	947
534	1087	945
535	1089	942
536	1090	940
537	1092	937
538	1093	935
539	1095	933
540	1097	930
541	1099	928
542	1100	926
543	1102	924
544	1103	921
545	1105	919
546	1107	916
547	1109	915
548	1111	913
549	1114	911
550	1117	910
551	1120	909
552	1123	907
553	1124	905
554	1126	903
555	1129	901
556	1131	899
557	1132	897
558	1134	895
559	1137	893
560	1139	891
561	1142	890
562	1143	887
563	1145	885
564	1147	883
565	1148	880
566	1150	878
567	1152	876
568	1155	875
569	1157	873
570	1159	871
571	1162	869
572	1163	867
573	1165	864
574	1166	862
575	1168	860
576	1169	857
577	1171	855
578	1173	853
579	1175	851
580	1177	849
581	1180	848
582	1183	846
583	1186	845
584	1188	842
585	1189	840
586	1191	838
587	1193	835
588	1195	834
589	1196	831
590	1199	829
591	1202	828
592	1204	826
593	1206	824
594	1208	822
595	1210	820
596	1211	818
597	1213	815
598	1215	813
599	1216	811
600	1219	809
601	1221	807
602	1224	805
603	1227	804
604	1229	802
605	1231	800
606	1232	798
607	1235	796
608	1236	794
609	1239	792
610	1241	790
611	1242	788
612	1247	787
613	1249	785
614	1251	783
615	1253	781
616	1255	779
617	1258	777
618	1260	775
619	1262	773
620	1264	771
621	1267	770
622	1269	768
623	1271	766
624	1273	764
625	1277	763
626	1281	762
627	1284	760
628	1288	760
629	1291	758
630	1293	756
631	1297	755
632	1300	754
633	1302	751
634	1303	749
635	1306	747
636	1308	745
637	1310	743
638	1313	742
639	1315	739
640	1317	737
641	1319	735
642	1321	733
643	1322	731
644	1324	728
645	1326	727
646	1329	725
647	1331	723
648	1336	723
649	1339	721
650	1342	719
651	1345	717
652	1346	715
653	1348	713
654	1350	711
655	1351	708
656	1353	706
657	1355	704
658	1358	703
659	1360	700
660	1362	698
661	1363	696
662	1365	694
663	1366	691
664	1368	689
665	1370	687
666	1371	684
667	1373	682
668	1373	679
669	1376	678
670	1378	676
671	1380	674
672	1382	671
673	1384	669
674	1385	667
675	1387	664
676	1388	662
677	1391	660
678	1393	658
679	1394	656
680	1396	654
681	1398	651
682	1399	649
683	1401	647
684	1403	645
685	1405	643
686	1407	641
687	1408	638
688	1410	636
689	1411	634
690	1413	632
691	1414	629
692	1416	627
693	1418	625
694	1419	623
695	1421	620
696	1423	618
697	1425	616
698	1427	614
699	1428	612
700	1430	610
701	1432	607
702	1433	605
703	1435	603
704	1436	601
705	1438	599
706	1440	596
707	1442	594
708	1443	592
709	1445	590
710	1447	588
711	1448	585
712	1450	583
713	1451	581
714	1456	580
715	1458	578
716	1462	577
717	1465	575
718	1469	574
719	1472	572
720	1475	571
721	1479	569
722	1482	568
723	1485	566
724	1489	564
725	1492	563
726	1495	561
727	1498	560
728	1501	558
729	1504	556
730	1507	554
731	1511	553
732	1514	551
733	1517	549
734	1520	548
735	1522	546
736	1525	544
737	1528	542
738	1532	541
739	1536	540
740	1540	538
741	1543	536
742	1547	535
743	1550	533
744	1552	531
745	1555	529
746	1557	527
747	1560	525
748	1563	523
749	1565	521
750	1569	520
751	1571	518
752	1574	516
753	1576	514
754	1579	512
755	1581	510
756	1588	510
757	1594	509
758	1597	507
759	1599	505
760	1602	503
761	1605	501
762	1608	499
763	1612	498
764	1614	495
765	1617	494
766	1620	492
767	1622	490
768	1624	488
769	1628	486
770	1630	484
771	1633	482
772	1635	480
773	1637	478
774	1639	475
775	1640	473
776	1642	471
777	1643	469
778	1646	467
779	1649	465
780	1651	463
781	1654	461
782	1657	459
783	1659	457
784	1662	455
785	1664	453
786	1666	451
787	1668	448
788	1670	446
789	1673	444
790	1677	443
791	1679	441
792	1682	439
793	1684	437
794	1686	435
795	1689	432
796	1691	430
797	1696	429
798	1698	427
799	1701	425
800	1703	423
801	1706	421
802	1708	419
803	1714	418
804	1720	416
805	1722	414
806	1725	412
807	1727	410
808	1730	408
809	1734	406
810	1737	404
811	1740	402
812	1742	400
813	1744	398
814	1747	396
815	1749	394
816	1754	393
817	1757	391
818	1760	389
819	1762	386
820	1764	384
821	1766	382
822	1768	380
823	1771	378
824	1774	376
825	1776	374
826	1778	372
827	1780	369
828	1782	367
829	1785	365
830	1787	363
831	1789	361
832	1792	359
833	1794	357
834	1797	355
835	1799	352
836	1801	350
837	1804	348
838	1806	346
839	1808	344
840	1812	342
841	1815	340
842	1817	338
843	1818	336
844	1821	334
845	1823	332
846	1826	329
847	1828	327
848	1830	325
849	1835	323
850	1838	321
851	1841	319
852	1844	317
853	1846	315
854	1848	313
855	1851	311
856	1854	309
857	1856	307
858	1860	305
859	1862	303
860	1864	301
861	1867	298
862	1869	296
863	1871	294
864	1874	292
865	1876	290
866	1878	288
867	1880	286
868	1883	283
869	1885	281
870	1888	279
871	1890	277
872	1892	275
873	1894	273
874	1896	270
875	1899	268
876	1901	266
877	1904	264
878	1906	262
879	1908	260
880	1910	258
881	1913	256
882	1915	253
883	1918	251
884	1920	249
885	1922	247
886	1925	245
887	1927	243
888	1930	241
889	1933	239
890	1937	237
891	1940	234
892	1944	232
893	1946	230
894	1948	228
895	1951	226
896	1954	224
897	1957	222
898	1960	220
899	1962	218
900	1965	215
901	1967	213
902	1969	211
903	1973	209
904	1975	207
905	1982	205
906	1984	203
907	1987	201
908	1990	199
909	1995	197
910	1998	195
911	2001	193
912	2008	191
913	2010	189
914	2014	187
915	2016	184
916	2018	182
917	2020	180
918	2023	178
919	2025	176
920	2029	174
921	2033	171
922	2034	169
923	2036	167
924	2038	165
925	2041	163
926	2043	160
927	2046	158
928	2050	156
929	2054	154
930	2056	152
931	2060	150
932	2062	148
933	2064	145
934	2066	143
935	2068	141
936	2071	139
937	2073	137
938	2076	134
939	2078	132
940	2080	130
941	2082	128
942	2085	126
943	2087	123
944	2090	121
945	2093	119
946	2097	117
947	2099	115
948	2101	112
949	2103	110
950	2106	108
951	2108	106
952	2110	104
953	2114	101
954	2116	99
955	2119	97
956	2121	95
957	2123	93
958	2126	90
959	2128	88
960	2130	86
961	2133	84
962	2136	82
963	2138	79
964	2141	77
965	2143	75
966	2145	73
967	2147	70
968	2149	68
969	2152	66
970	2155	64
971	2157	62
972	2160	59
973	2162	57
974	2164	55
975	2166	53
976	2169	51
977	2171	48
978	2173	46
979	2175	44
980	2178	42
981	2180	39
982	2182	37
983	2184	35
984	2187	33
985	2189	31
986	2191	28
987	2193	26
988	2196	24
989	2198	22
990	2201	19
991	2203	17
992	2205	15
993	2207	13
994	2209	11
995	2212	8
996	2214	6
997	2216	4
998	2218	2
999	2220	0
