iter	RMSE
261	591445.7137
262	590888.3942
263	590396.4773
264	589879.7168
265	589429.1514
266	588102.6175
267	587631.8019
268	586653.5451
269	585822.9434
270	584675.9261
271	583502.0526
272	583063.14
273	582051.2735
274	581258.4197
275	580115.2256
276	579324.5915
277	578520.9329
278	577592.5553
279	576769.1
280	576394.1028
281	576075.51
282	575515.2966
283	574779.3577
284	574416.143
285	573322.4267
286	572667.5737
287	572339.9005
288	571278.5046
289	571141.0662
290	570623.3796
291	569549.046
292	568339.5691
293	566856.9502
294	566548.4861
295	565390.2537
296	565121.4109
297	564355.2697
298	563058.2849
299	562481.3405
300	561528.9251
301	560625.0834
302	560362.0413
303	559770.8653
304	559040.031
305	558036.5176
306	557330.864
307	555938.6089
308	555421.1303
309	553938.2447
310	552836.6167
311	552533.5942
312	551501.2121
313	551014.0257
314	549826.9856
315	548661.608
316	547973.3435
317	547123.4842
318	546775.3525
319	546459.6395
320	545223.6545
321	544663.1544
322	544068.2695
323	543206.9663
324	542935.7592
325	542415.1044
326	541212.7632
327	540471.6492
328	539912.026
329	539483.9296
330	539249.0345
331	538840.1843
332	538487.2936
333	537399.7979
334	536332.159
335	535263.1355
336	534519.3728
337	533825.247
338	533182.7696
339	532285.36
340	531263.9901
341	530582.3307
342	530058.7119
343	528737.8883
344	527941.6907
345	527716.9188
346	527035.45
347	526540.8615
348	525949.8836
349	525015.1246
350	524783.8378
351	523784.79
352	522817.052
353	522135.1698
354	521344.223
355	520878.5279
356	519720.0486
357	519438.6749
358	519248.5469
359	518568.6748
360	517675.3667
361	516421.5834
362	515423.4251
363	515147.693
364	514756.0397
365	514254.2176
366	513043.7824
367	512515.7293
368	512154.4649
369	511640.4282
370	510775.0956
371	509996.3894
372	509263.465
373	508918.3148
374	508025.4095
375	507284.2217
376	506669.9339
377	506011.3587
378	505461.9076
379	504409.189
380	503482.2425
381	502554.9488
382	502123.669
383	501733.1025
384	500741.7969
385	500479.5575
386	499921.7748
387	499039.3899
388	498280.4185
389	497897.0176
390	496837.632
391	496110.9384
392	495908.5384
393	495321.4115
394	495020.5699
395	494112.5818
396	492824.6268
397	492450.861
398	491361.429
399	490443.7832
400	489849.5842
401	489500.4519
402	489116.0351
403	488349.2399
404	488042.0475
405	487353.9771
406	486744.8562
407	486161.7897
408	485933.3235
409	485342.2462
410	484644.521
411	484299.5409
412	484141.3708
413	483806.3338
414	483290.9098
415	483131.1521
416	482692.7654
417	482025.8415
418	481635.6642
419	481110.3127
420	480727.8797
421	479529.9672
422	478431.2033
423	477871.1119
424	477432.6304
425	476988.0022
426	475906.9765
427	475504.6009
428	474891.4824
429	474350.2874
430	474049.7954
431	473115.9701
432	472779.1444
433	472411.2357
434	471607.6504
435	471437.8307
436	470782.683
437	470446.5771
438	470197.2262
439	469812.3223
440	468813.9411
441	468595.6189
442	468138.0993
443	467805.4158
444	466861.6321
445	466394.0707
446	465893.9248
447	465311.2937
448	464710.8588
449	463862.5158
450	463446.2292
451	462580.0937
452	461854.6061
453	461268.201
454	460807.9432
455	460238.3374
456	459451.8228
457	458384.3561
458	458097.3364
459	457553.0531
460	456864.2892
461	456564.3097
462	456137.4042
463	455802.4494
464	455355.4898
465	455145.0432
466	454805.6226
467	454539.3603
468	453903.2984
469	453369.7682
470	452637.2086
471	451958.0135
472	451418.4508
473	450997.5693
474	450633.4896
475	450456.4039
476	450186.459
477	449837.6897
478	449622.6236
479	449391.1745
480	449014.9463
481	448409.894
482	447976.2315
483	447799.9097
484	447195.1369
485	446864.4524
486	446487.2718
487	446305.2699
488	445983.763
489	445660.6232
490	445425.9202
491	445034.7952
492	444100.5528
493	443833.2405
494	443274.7931
495	443056.4333
496	442119.3592
497	441725.8222
498	441515.1979
499	441407.8322
500	441030.106
501	440690.392
502	440472.4365
503	440151.286
504	439639.6477
505	439133.8305
506	438664.235
507	438004.5613
508	437554.457
509	437302.2498
510	437047.0453
511	436613.7782
512	436311.9683
513	435680.6997
514	435451.3503
515	434886.0627
516	434554.7163
517	434198.6167
518	433883.0943
519	433550.3345
520	433032.0386
521	432723.5011
522	432517.2449
523	432060.7517
524	432011.9992
525	431871.1693
526	431053.3987
527	430764.0257
528	430313.5234
529	429793.7841
530	429269.1823
531	428630.9512
532	428233.6061
533	427729.6647
534	427104.8175
535	426939.7021
536	426589.8389
537	425950.4331
538	425718.6538
539	425150.1331
540	424909.9914
541	424704.0192
542	424055.8035
543	423810.4816
544	423535.3973
545	423065.0036
546	422477.2213
547	422157.6615
548	421803.426
549	421504.9186
550	420871.1022
551	420160.1819
552	419950.3114
553	419552.9756
554	418981.4933
555	418346.8969
556	418103.705
557	417587.7822
558	417271.5625
559	416648.7599
560	416324.4722
561	416056.9826
562	415446.7466
563	415276.4529
564	414659.4413
565	414377.6403
566	414109.6087
567	413727.8065
568	413291.0378
569	412774.0817
570	411907.1412
571	411424.8623
572	411335.2152
573	411051.1472
574	410298.6255
575	409990.6294
576	409801.0505
577	409251.515
578	408908.7153
579	408680.9934
580	408454.2794
581	407994.3243
582	407666.8082
583	407406.8278
584	406939.6752
585	406654.2641
586	406106.8685
587	405782.3135
588	405234.1206
589	404501.8302
590	403984.6487
591	403581.5949
592	402886.0976
593	402604.3771
594	402382.898
595	402150.0742
596	401683.7188
597	401179.7377
598	400974.8588
599	400550.3553
600	400308.9318
601	399862.4496
602	399579.3364
603	399349.1126
604	399271.1046
605	399006.2081
606	398336.6126
607	397973.1389
608	397464.8868
609	396957.1138
610	396737.2359
611	396409.9581
612	395784.2026
613	395519.2806
614	395127.1076
615	394896.2286
616	394500.9713
617	394263.407
618	394093.4504
619	393689.8599
620	393406.8131
621	392656.023
622	392098.134
623	392015.3836
624	391987.9548
625	391386.8991
626	390838.8419
627	390123.9769
628	390094.7662
629	389872.1813
630	389159.8498
631	388624.4942
632	388048.8315
633	387878.1244
634	387215.415
635	387046.6857
636	386789.7887
637	386283.3266
638	385793.4159
639	385550.0638
640	384997.476
641	384423.4908
642	383987.5692
643	383941.2345
644	383631.5924
645	383077.4599
646	382854.4959
647	382740.5989
648	382423.5441
649	382201.3298
650	381507.4827
651	380904.0399
652	380534.6237
653	380332.8404
654	379969.3118
655	379722.6591
656	379525.2825
657	379376.8638
658	379155.3232
659	378838.6109
660	378600.7205
661	378469.2744
662	378066.2029
663	377844.7614
664	377643.7299
665	377177.543
666	377059.6633
667	376544.3719
668	376527.7368
669	376324.3363
670	375896.7657
671	375705.4614
672	375347.4817
673	375226.0179
674	374968.3722
675	374711.2916
676	374599.3289
677	374094.1713
678	373737.484
679	373605.9123
680	373135.8605
681	372638.6848
682	372147.1425
683	371769.7938
684	371343.9715
685	371105.5157
686	370955.4476
687	370587.8725
688	369782.2567
689	369483.7019
690	369147.8954
691	368781.2148
692	368432.4651
693	368341.9158
694	368221.776
695	367807.9497
696	367462.7293
697	367121.3743
698	366762.5914
699	366697.6457
700	366161.0526
701	366047.0217
702	365568.5518
703	365436.7233
704	365139.644
705	365002.0356
706	364937.211
707	364800.5142
708	364201.264
709	363996.5986
710	363905.3388
711	363791.907
712	363478.2583
713	363197.4503
714	362814.2832
715	362365.3851
716	361969.8285
717	361951.0558
718	361702.9502
719	361524.0534
720	360868.8645
721	360578.3138
722	360422.3249
723	360322.9443
724	360257.9573
725	359774.7266
726	359118.1317
727	359019.5523
728	358569.2199
729	358363.7563
730	358167.5841
731	357835.0327
732	357557.5773
733	357263.8447
734	357182.223
735	357108.9374
736	356694.6517
737	356187.1468
738	355742.4168
739	355683.7637
740	355664.2539
741	355264.4532
742	355046.6239
743	354871.5524
744	354486.1792
745	354142.4018
746	353999.8965
747	353931.3337
748	353415.3004
749	353063.9737
750	353044.1426
751	353025.3718
752	352695.6393
753	352571.8968
754	351962.0923
755	351778.8877
756	351454.3432
757	351202.3007
758	350903.3458
759	350640.9177
760	350262.3026
761	349870.5249
762	349675.3183
763	349539.2181
764	349250.5621
765	348935.0019
766	348670.6596
767	348211.424
768	348018.6707
769	347610.4153
770	347329.1216
771	347217.4354
772	346755.4436
773	346513.3269
774	346378.5074
775	346058.1023
776	345956.7515
777	345785.2914
778	345540.316
779	345234.7438
780	344952.6066
781	344758.4654
782	344638.2184
783	344425.9789
784	344240.5095
785	344207.6783
786	344049.2219
787	343926.3325
788	343629.1441
789	342868.2562
790	342637.3264
791	342287.0436
792	342138.4154
793	342010.3782
794	341542.9262
795	341463.0941
796	341383.7837
797	341122.5315
798	340728.2307
799	340438.2016
800	340027.5027
801	339882.4358
802	339715.3317
803	339272.2154
804	339254.4443
805	338935.4733
806	338620.0909
807	338479.3367
808	338331.1838
809	338124.0991
810	337597.1069
811	337138.7916
812	336694.964
813	336519.7728
814	336353.9411
815	336097.4759
816	335976.1277
817	335802.6752
818	335750.1312
819	335732.0014
820	335371.5423
821	335008.7876
822	334874.6778
823	334765.439
824	334574.1067
825	334313.586
826	334179.0681
827	334050.4726
828	333707.8331
829	333390.0978
830	333225.3546
831	333121.6795
832	332754.0608
833	332421.8017
834	331960.6068
835	331471.1316
836	331423.2756
837	331191.8346
838	330828.8905
839	330521.1035
840	330330.2261
841	330064.3786
842	329967.9891
843	329896.6991
844	329780.876
845	329685.1145
846	329668.6435
847	329403.342
848	329043.2774
849	328882.2067
850	328475.4804
851	328202.9421
852	328191.7203
853	327868.77
854	327736.4586
855	327351.9501
856	327206.8917
857	327013.7755
858	326825.2528
859	326589.2675
860	326498.5262
861	326163.413
862	326011.8279
863	325892.6257
864	325599.011
865	325494.9545
866	325242.9047
867	324967.1711
868	324756.2156
869	324608.0993
870	324275.3078
871	324170.8597
872	323954.8687
873	323816.9566
874	323566.1281
875	323438.8398
876	323005.8105
877	322713.0421
878	322603.5282
879	322031.6283
880	321712.4504
881	321566.4897
882	321359.0827
883	320941.8336
884	320730.9712
885	320539.0183
886	320463.294
887	320320.7461
888	320090.3037
889	319866.4718
890	319786.7769
891	319386.8849
892	319145.8787
893	318612.9956
894	318249.0689
895	317994.6219
896	317977.5879
897	317663.0982
898	317465.4028
899	316940.324
900	316786.8419
901	316428.5009
902	316072.0714
903	315876.5101
904	315433.3743
905	315239.0828
906	315120.7822
907	314880.1225
908	314647.1187
909	314288.2842
910	314140.6153
911	313812.6653
912	313550.2298
913	313430.8907
914	313288.6824
915	313235.9727
916	313090.2186
917	312693.8862
918	312447.4321
919	312321.5047
920	312168.7045
921	311785.9508
922	311772.0301
923	311601.7162
924	311252.1316
925	310955.6403
926	310759.5904
927	310515.1878
928	310257.0186
929	310188.8141
930	309917.2982
931	309852.6808
932	309642.6484
933	309562.3364
934	309210.3855
935	309095.5544
936	308756.1042
937	308662.4421
938	308245.8166
939	307999.9299
940	307864.6708
941	307724.4836
942	307392.5486
943	307034.8962
944	306834.9177
945	306645.868
946	306397.0384
947	306290.9435
948	306189.2506
949	306087.0927
950	305904.048
951	305720.331
952	305605.5456
953	305500.5691
954	305449.5131
955	305435.6077
956	305282.989
957	305151.9493
958	305121.6946
959	305079.874
960	304988.1715
961	304851.8436
962	304686.359
963	304524.002
964	304407.6279
965	304223.9648
966	303984.595
967	303617.5068
968	303323.8473
969	303081.5247
970	302813.0415
971	302713.3485
972	302485.4935
973	302279.4093
974	301633.8033
975	301405.4409
976	301061.7537
977	300955.6186
978	300537.5221
979	300115.8771
980	300067.852
981	299698.5017
982	299621.7441
983	299447.5122
984	299257.6407
985	298836.9112
986	298658.3124
987	298585.092
988	298462.3066
989	298195.6934
990	298095.3731
991	298017.3768
992	297933.257
993	297794.5706
994	297630.022
995	297591.5635
996	297374.8613
997	297321.3766
998	297107.3439
999	296946.4003
